,number,address,Lat,Lon,METRIC,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec
14,10111-002:,"Sahlstedtsgatan 2 A-B, Borlänge, Dalarna, Sverige",60.4866205,15.4360091,kWh,4997,4402,4928,3811,5017,6820,7060,6899,6896,6510,5871,5011
16,10111-001:,"Vattugatan 5-7, Borlänge, Dalarna, Sverige",60.4864612,15.4362332,kWh,80,85,81,84,89,104,93,108,137,113,110,107
17,10114-001:,"Tunagatan 13 A-D, Borlänge, Dalarna, Sverige",60.482014,15.428786,kWh,9128,7985,8217,8205,6903,6377,5954,6321,6183,6718,6711,7099
18,10114-002:,"Wallingatan 12-16, Borlänge, Dalarna, Sverige",60.4829407,15.4307535,kWh,3763,2883,2928,2717,3160,2847,2723,2656,2711,3061,2951,2885
19,10118-001:,"Dalen 8, Borlänge, Dalarna, Sverige",60.4858189,15.438613,kWh,996,892,983,965,1178,980,1011,1030,1004,1052,1048,1222
20,10125-001:,"Ingelsgatan 18, Borlänge, Dalarna, Sverige",60.4810165,15.4360967,kWh,1241,1072,1022,761,704,577,631,713,689,934,1008,1372
21,10125-002:,"Simsgatan 2 A-C, Borlänge, Dalarna, Sverige",60.4808081,15.4355384,kWh,582,524,577,531,474,447,341,376,533,601,563,621
22,10132-001:,"Lergatan 8, Borlänge, Dalarna, Sverige",60.4828689,15.4422514,kWh,1752,1563,1483,1022,748,660,560,749,906,1094,1291,1671
23,10133-003:,"Hummelgatan 26 A-F, Borlänge, Dalarna, Sverige",60.4846486,15.4385368,kWh,1356,1153,1122,883,782,690,669,737,785,905,1021,1257
24,10134-001:,"Vintervägen 5, Borlänge, Dalarna, Sverige",60.4843254,15.4407176,kWh,601,300,352,366,468,351,356,395,355,342,329,403
25,10135-001:,"Hummelgatan 22, Borlänge, Dalarna, Sverige",60.4842136,15.4377946,kWh,130,136,121,115,74,62,45,65,89,128,124,130
26,10142-001:,"Gyllehemsvägen 2, Borlänge, Dalarna, Sverige",60.4709395,15.4476893,kWh,3167,3050,2901,1899,1183,1305,1330,1233,1284,1772,2164,2799
27,10143-001:,"Mjälgavägen 49 A-C, Borlänge, Dalarna, Sverige",60.476729,15.465914,kWh,2610,2413,2128,1370,1087,948,1012,1041,1050,1101,2056,1823
28,10143-003:,"Mjälgavägen 49 F-J, Borlänge, Dalarna, Sverige",60.476419,15.466139,kWh,5065,3729,3002,2498,2055,1841,1873,2028,2588,3301,4103,3412
29,10151-004:,"Gamla Landsvägen 10 A-B, Borlänge, Dalarna, Sverige",60.4650356,15.453299,kWh,161,126,129,115,103,81,74,123,132,147,168,153
30,10151-001:,"Tunavägen 158 A-B, Borlänge, Dalarna, Sverige",60.4662107,15.4523169,kWh,1161,1146,1077,330,149,106,122,147,122,310,631,1131
31,10151-002:,"Tunavägen 160 A-B, Borlänge, Dalarna, Sverige",60.4657414,15.4531576,kWh,1118,1040,1108,1092,762,796,655,799,1044,1168,1148,1262
32,10151-003:,"Tunavägen 162 A-B, Borlänge, Dalarna, Sverige",60.4659026,15.4537441,kWh,565,494,461,174,101,91,97,112,96,106,148,240
33,10152-001:,"Gamla Landsvägen 12 A-B, Borlänge, Dalarna, Sverige",60.464676,15.4548109,kWh,3482,3179,3512,3401,3332,3113,3251,3307,3367,3456,3142,3058
34,10152-002:,"Tunavägen 164, Borlänge, Dalarna, Sverige",60.4653349,15.4528408,kWh,4500,3800,3813,3243,3171,3009,3078,3304,3260,3954,4310,4631
35,10153-003:,"Karlsgårdsgatan 11 A-D, Borlänge, Dalarna, Sverige",60.473354,15.449256,kWh,5786,5579,4973,3304,2233,2139,2134,2461,2727,3187,3827,4829
36,10153-004:,"Karlsgårdsgatan 13 A-D, Borlänge, Dalarna, Sverige",60.4737658,15.4494148,kWh,281,239,272,272,302,282,294,293,277,285,274,276
37,10153-005:,"Karlsgårdsgatan 15 A-D, Borlänge, Dalarna, Sverige",60.4737872,15.4506614,kWh,294,245,292,289,307,296,319,332,322,356,414,313
38,10153-006:,"Karlsgårdsgatan 17 A-E, Borlänge, Dalarna, Sverige",60.4735384,15.4513474,kWh,391,328,386,390,406,391,403,406,391,400,383,384
39,10153-001:,"Karlsgårdsgatan 7 A-E, Borlänge, Dalarna, Sverige",60.4731293,15.4479411,kWh,341,292,323,328,333,317,332,367,335,349,339,345
40,10153-002:,"Karlsgårdsgatan 9 A-D, Borlänge, Dalarna, Sverige",60.4734456,15.4481396,kWh,276,235,261,266,279,262,273,279,270,278,268,270
41,10154-001:,"Lindåkersvägen 17 A-D, Borlänge, Dalarna, Sverige",60.469883,15.452095,kWh,344,280,292,254,522,196,164,270,308,323,368,394
42,10154-003:,"Lindåkersvägen 21 A-D, Borlänge, Dalarna, Sverige",60.469282,15.451961,kWh,998,829,650,255,171,146,143,287,291,306,574,996
43,10154-002:,"Lindåkersvägen 23 A-B, Borlänge, Dalarna, Sverige",60.4693825,15.45079,kWh,172,152,169,153,112,106,92,118,154,168,169,197
45,10155-003:,"Broåkersvägen 3 A-C, Borlänge, Dalarna, Sverige",60.4589714,15.4670349,kWh,390,306,316,302,304,267,290,324,350,371,365,429
46,10155-002:,"Broåkersvägen 5 A-C, Borlänge, Dalarna, Sverige",60.4590875,15.4674993,kWh,1330,1171,1388,1283,1334,1244,1335,1335,1211,1334,1320,1287
47,10155-001:,"Broåkersvägen 7 A-D, Borlänge, Dalarna, Sverige",60.459682,15.4675194,kWh,1743,1823,1681,315,50,46,47,48,54,249,772,1549
48,10156-001:,"Tunavägen 264 A-P, Borlänge, Dalarna, Sverige",60.4457412,15.4825401,kWh,2774,2457,2534,2301,1813,1649,1348,1993,2376,2917,3075,3281
49,10156-003:,"Tunavägen 272 A-R, Borlänge, Dalarna, Sverige",60.4453845,15.4846229,kWh,610,482,472,421,319,262,274,398,425,566,611,662
50,10157-001:,"Marschgatan 19 A, Borlänge, Dalarna, Sverige",60.4398772,15.4922684,kWh,648,663,608,381,334,321,289,377,419,499,618,656
51,10157-002:,"Marschgatan 19 B, Borlänge, Dalarna, Sverige",60.439986,15.4918417,kWh,371,413,466,420,377,305,267,330,351,362,378,393
52,10158-001:,"Tunagården, Borlänge, Dalarna, Sverige",60.443879,15.4836465,kWh,29804,26161,27803,25625,25309,25122,27889,26761,26080,27788,27613,29072
53,10161-002:,"Anders Pers gata 1, Borlänge, Dalarna, Sverige",60.5042042,15.4449298,kWh,1728,1652,1802,1100,670,511,561,531,766,887,824,851
